A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
1	1	0	0	#	1	0	0.0	0.0	2	0	116	116	0.8333333333333334	0	0	122
#	0	#	#	#	0	0	0.03173675074994348	0.5015479876160991	3	0	3994	118	0.3333333333333333	0	486	969
1	1	#	0	0	#	0	0.03125	0.5	6	0	3992	118	0.6666666666666666	0	122	244
#	1	0	#	0	1	0	0.0009968224423024293	0.25102880658436216	4	0	3967	119	0.6666666666666666	0	61	243
1	#	0	#	1	0	0	0.03190374303770491	0.5020746887966805	4	0	3965	119	0.6666666666666666	0	121	241
0	1	#	0	0	0	0	1.0	1.0	18	0	3961	122	0.8333333333333334	0	120	120
0	1	0	#	0	1	0	0.03125	0.5	8	0	3967	123	0.8333333333333334	0	61	122
#	#	1	1	#	1	1	0.5098882788437851	0.8739669421487604	10	0	3990	123	0.5	0	423	484
#	0	0	0	#	#	0	0.24059140593162093	0.7520661157024794	10	0	3994	124	0.5	0	364	484
1	1	#	#	0	#	0	0.031573496205736754	0.5010309278350515	4	0	3992	124	0.5	0	243	485
#	0	0	#	0	#	0	1.0	1.0	14	0	3994	126	0.5	0	483	483
#	#	#	#	0	#	0	0.09512151265959341	0.624677336086732	5	0	3999	127	0.16666666666666666	0	1210	1937
1	0	#	#	#	#	0	0.03157416734823627	0.5010330578512396	5	0	3999	127	0.3333333333333333	0	485	968
#	1	#	0	#	1	1	0.03157484128127764	0.5010351966873706	3	0	3996	132	0.5	0	242	483
0	1	#	0	1	1	0	1.0	1.0	14	0	3972	134	0.8333333333333334	0	120	120
0	#	0	0	1	0	0	1.0	1.0	12	0	3985	135	0.8333333333333334	0	122	122
0	0	#	0	1	0	0	0.03125	0.5	2	0	3976	138	0.8333333333333334	0	60	120
0	1	0	#	#	0	0	0.03190374303770491	0.5020746887966805	9	0	3985	140	0.6666666666666666	0	121	241
0	#	0	0	0	1	0	1.0	1.0	12	0	3967	141	0.8333333333333334	0	120	120
0	1	#	0	#	1	0	1.0	1.0	16	0	3982	141	0.6666666666666666	0	241	241
#	#	0	#	#	#	0	0.09467622310283509	0.6240913811007269	1	0	3994	142	0.16666666666666666	0	1202	1926
#	0	1	1	0	1	1	0.029979846186040392	0.49586776859504134	3	0	3953	142	0.8333333333333334	0	60	121
0	0	0	#	0	#	1	0.0	0.0	2	0	143	143	0.6666666666666666	0	0	240
0	1	1	1	0	1	1	1.0	1.0	12	0	3980	145	1.0	0	60	60
#	1	1	0	0	0	0	1.0	1.0	11	0	3992	146	0.8333333333333334	0	121	121
#	1	#	0	1	0	0	1.0	1.0	11	0	3985	146	0.6666666666666666	0	240	240
0	0	#	0	#	0	0	0.03125	0.5	5	0	3976	148	0.6666666666666666	0	120	240
0	1	0	0	#	1	0	1.0	1.0	13	0	3972	149	0.8333333333333334	0	120	120
#	1	#	0	0	#	0	0.2332385623200035	0.7474120082815735	5	0	3992	151	0.5	0	361	483
1	1	#	0	#	#	0	0.030927837804918198	0.4989648033126294	5	0	3992	151	0.5	0	241	483
0	#	0	0	#	0	1	0.0	0.0	3	0	153	153	0.6666666666666666	0	0	240
#	1	1	#	0	#	1	0.03125	0.5	3	0	3993	154	0.5	0	240	480
1	1	0	0	1	0	0	1.0	1.0	15	0	3949	159	1.0	0	60	60
0	1	#	0	1	0	0	1.0	1.0	10	0	3985	160	0.8333333333333334	0	120	120
1	0	0	0	0	0	0	1.0	1.0	17	0	3994	161	1.0	0	60	60
0	1	#	#	#	0	0	0.03125	0.5	8	0	3985	161	0.5	0	240	480
#	1	1	1	0	#	1	0.2373046875	0.75	4	0	3980	164	0.6666666666666666	0	180	240
0	1	#	0	#	0	1	0.0	0.0	1	0	166	166	0.6666666666666666	0	0	240
0	1	#	#	0	0	0	0.03190925947145692	0.502092050209205	8	0	3961	170	0.6666666666666666	0	120	239
#	0	0	0	0	0	0	1.0	1.0	19	0	3994	170	0.8333333333333334	0	119	119
0	#	0	0	0	#	0	1.0	1.0	13	0	3967	171	0.6666666666666666	0	239	239
0	0	0	1	#	#	0	1.0	1.0	14	0	3973	171	0.6666666666666666	0	240	240
#	0	0	1	0	#	0	1.0	1.0	11	0	3973	172	0.6666666666666666	0	239	239
#	#	0	0	#	#	0	0.2385497250985906	0.7507853403141361	6	0	3994	174	0.3333333333333333	0	717	955
1	1	#	#	0	0	0	1.0	1.0	15	0	3992	174	0.6666666666666666	0	240	240
#	1	#	0	1	1	0	0.030601682309514048	0.497907949790795	3	0	3972	177	0.6666666666666666	0	119	239
#	0	0	1	0	1	0	1.0	1.0	7	0	3973	178	0.8333333333333334	0	119	119
0	1	#	1	#	#	1	1.0	1.0	13	0	3998	178	0.5	0	479	479
#	0	#	0	1	1	1	0.23565445268619553	0.7489539748953975	2	0	3997	179	0.6666666666666666	0	179	239
1	1	1	1	0	#	1	0.029958857775924084	0.4957983193277311	2	0	3941	179	0.8333333333333334	0	59	119
#	1	#	1	#	0	1	0.030601682309514048	0.497907949790795	2	0	3968	180	0.5	0	238	478
